update,wall_time,total_env_steps,avg_reward,avg_ep_length,kill_rate,win_rate,elo,policy_loss,value_loss,entropy,lr,fps
1,1.1,49152,-3.7500,62.2,1.0000,0.3125,943.4,-0.001770,0.836677,1.632257,3.000000e-04,46403
10,7.4,491520,-11.2000,279.9,0.2400,0.1300,1003.0,-0.002906,2.124552,1.610512,2.994600e-04,69827
20,14.4,983040,-10.7500,288.6,0.2100,0.1600,1060.6,-0.004248,2.727355,1.639202,2.988600e-04,73205
30,21.5,1474560,-7.9000,249.2,0.4200,0.2500,1102.4,-0.002888,3.648298,1.640801,2.982600e-04,70774
40,28.4,1966080,-8.7500,249.5,0.4500,0.2000,1108.3,-0.005266,2.845368,1.644737,2.976600e-04,71315
50,35.2,2457600,-5.3000,209.3,0.5800,0.3400,1089.3,-0.004852,4.875071,1.648716,2.970600e-04,69426
60,42.2,2949120,-4.7500,228.6,0.5300,0.3800,1203.0,-0.006715,5.717091,1.623906,2.964600e-04,68732
70,49.2,3440640,-0.3500,161.9,0.8000,0.5300,1301.8,-0.007806,4.760619,1.618909,2.958600e-04,70463
80,56.2,3932160,5.9500,134.8,0.9100,0.8200,1323.5,-0.005881,3.477326,1.666972,2.952600e-04,73463
90,63.3,4423680,-0.3500,142.8,0.8400,0.5200,1261.4,-0.007194,5.904180,1.639078,2.946600e-04,64114
100,70.5,4915200,2.2500,179.2,0.6900,0.6900,1398.3,-0.003453,3.174824,1.663950,2.940600e-04,71554
110,77.9,5406720,-0.6500,123.3,0.9500,0.4800,1255.4,-0.007186,6.170473,1.634824,2.934600e-04,68943
120,85.2,5898240,0.1500,96.4,0.9800,0.5100,1307.3,-0.006193,5.790209,1.614276,2.928600e-04,65873
130,92.5,6389760,0.3000,90.4,0.9800,0.5200,1394.9,-0.007344,6.767006,1.616051,2.922600e-04,65306
140,99.9,6881280,8.0000,136.6,0.9200,0.9200,1420.3,-0.006465,1.617508,1.646775,2.916600e-04,70623
150,107.2,7372800,-0.7000,100.8,0.9800,0.4700,1327.4,-0.006861,7.180930,1.577811,2.910600e-04,65306
160,114.6,7864320,1.6500,115.6,0.9700,0.5900,1395.9,-0.008589,5.119331,1.599892,2.904600e-04,63377
170,121.9,8355840,4.2500,135.5,0.8900,0.7400,1415.5,-0.007176,3.143577,1.638082,2.898600e-04,66892
180,129.4,8847360,5.6500,140.0,0.8900,0.8100,1413.0,-0.008715,3.025563,1.628733,2.892600e-04,65154
190,136.8,9338880,4.2000,111.8,0.9600,0.7200,1547.6,-0.008960,4.108202,1.608824,2.886600e-04,66697
200,144.2,9830400,2.9500,117.2,0.9500,0.6600,1436.1,-0.008272,5.059766,1.598271,2.880600e-04,66122
210,151.6,10321920,1.8500,108.0,0.9700,0.6000,1432.6,-0.010004,6.175418,1.583049,2.874600e-04,64127
220,159.1,10813440,0.3500,110.1,0.9900,0.5200,1458.0,-0.008658,5.522303,1.586270,2.868600e-04,67147
230,166.3,11304960,1.8500,122.2,0.9700,0.6000,1441.5,-0.008226,5.364197,1.548741,2.862600e-04,65623
240,173.5,11796480,3.9500,107.0,0.9500,0.7100,1496.9,-0.008844,6.175803,1.584179,2.856600e-04,66174
250,181.0,12288000,4.1000,112.2,0.9400,0.7200,1511.8,-0.009542,4.878264,1.557011,2.850600e-04,67061
260,188.5,12779520,-0.5000,113.8,0.9800,0.4800,1507.1,-0.009028,5.876207,1.547830,2.844600e-04,65110
270,195.9,13271040,8.6500,92.0,0.9700,0.9400,1575.1,-0.010813,2.508551,1.624433,2.838600e-04,67669
280,203.4,13762560,0.5000,112.2,0.9800,0.5300,1441.0,-0.009555,4.344656,1.584917,2.832600e-04,65597
290,210.7,14254080,8.0500,114.5,0.9700,0.9100,1486.2,-0.010268,2.802739,1.622847,2.826600e-04,65467
300,218.2,14745600,1.6500,117.2,0.9700,0.5900,1570.7,-0.010997,5.250594,1.588876,2.820600e-04,67424
310,225.3,15237120,1.0500,128.5,0.9600,0.5600,1559.5,-0.011330,4.674961,1.564675,2.814600e-04,67171
320,232.9,15728640,6.4500,105.9,0.9700,0.8300,1564.1,-0.012798,4.034959,1.569030,2.808600e-04,64510
330,240.3,16220160,4.9000,97.8,0.9800,0.7500,1492.3,-0.009949,5.017236,1.573002,2.802600e-04,64708
340,247.6,16711680,9.5000,97.8,0.9800,0.9800,1563.3,-0.008472,1.665597,1.650679,2.796600e-04,73113
350,255.0,17203200,6.3500,109.7,0.9400,0.8300,1566.1,-0.012413,3.560137,1.581859,2.790600e-04,67759
360,262.4,17694720,0.9500,132.7,0.9500,0.5600,1611.0,-0.010391,4.606149,1.580872,2.784600e-04,65961
370,269.6,18186240,1.3500,136.2,0.9500,0.5800,1496.2,-0.010531,4.453624,1.577304,2.778600e-04,66554
380,277.0,18677760,1.3000,117.9,0.9000,0.5900,1581.5,-0.012069,5.134657,1.576144,2.772600e-04,65962
390,284.2,19169280,-0.3500,120.2,0.9700,0.4900,1540.0,-0.011543,5.340156,1.591986,2.766600e-04,68652
400,291.5,19660800,0.0000,135.3,0.9200,0.5200,1508.6,-0.011071,4.212214,1.567102,2.760600e-04,66564
410,298.7,20152320,5.6500,109.8,0.9300,0.8000,1482.8,-0.010422,4.440646,1.588519,2.754600e-04,67023
420,306.0,20643840,0.7000,114.6,0.9200,0.5500,1624.0,-0.010847,4.858510,1.565649,2.748600e-04,65459
430,313.2,21135360,4.7500,112.5,0.9500,0.7500,1475.7,-0.010548,4.636576,1.551627,2.742600e-04,66803
440,320.6,21626880,-0.1500,120.7,0.9700,0.5000,1605.7,-0.012651,5.129549,1.595183,2.736600e-04,67140
450,328.0,22118400,0.7000,129.8,0.9800,0.5400,1667.2,-0.012229,3.634655,1.582856,2.730600e-04,66025
460,335.3,22609920,-2.0500,124.8,0.9400,0.4100,1497.7,-0.012920,4.540520,1.573030,2.724600e-04,68252
470,342.7,23101440,8.5500,92.9,0.9900,0.9300,1561.6,-0.011448,2.779510,1.612525,2.718600e-04,67151
480,350.0,23592960,6.0500,101.5,0.9700,0.8100,1622.3,-0.011376,4.241004,1.658046,2.712600e-04,64844
490,357.4,24084480,-3.2500,126.4,0.9400,0.3500,1589.6,-0.012478,4.207722,1.569697,2.706600e-04,67121
500,364.7,24576000,6.9000,130.8,0.9000,0.8700,1557.9,-0.012974,2.707133,1.613694,2.700600e-04,68292
510,372.0,25067520,5.2500,103.4,0.9700,0.7700,1569.6,-0.012661,3.525611,1.599336,2.694600e-04,64849
520,379.4,25559040,-1.5500,138.4,0.9200,0.4400,1632.5,-0.011688,4.384823,1.576965,2.688600e-04,66673
530,386.7,26050560,1.5500,135.1,0.9400,0.5900,1708.3,-0.010796,4.872619,1.578349,2.682600e-04,65337
540,394.2,26542080,-1.1500,112.0,0.9700,0.4500,1512.4,-0.011673,5.650646,1.578601,2.676600e-04,65182
550,401.7,27033600,3.5500,113.7,0.9400,0.6900,1574.0,-0.011376,4.520903,1.555395,2.670600e-04,65481
560,409.1,27525120,9.7500,78.9,0.9900,0.9900,1680.5,-0.009689,1.480182,1.612363,2.664600e-04,71196
570,416.6,28016640,-2.9000,134.2,0.9000,0.3800,1563.7,-0.013775,4.356845,1.596308,2.658600e-04,65280
580,424.0,28508160,8.5000,92.8,0.9400,0.9400,1572.1,-0.007682,1.950068,1.645156,2.652600e-04,70456
590,431.6,28999680,-2.1500,115.9,0.9500,0.4000,1583.2,-0.011931,4.336995,1.577610,2.646600e-04,61873
600,439.0,29491200,-2.5000,115.9,0.9400,0.3900,1581.3,-0.013783,4.443187,1.581364,2.640600e-04,63232
610,446.5,29982720,0.8500,103.0,0.9700,0.5500,1534.6,-0.014220,5.163637,1.576254,2.634600e-04,63837
620,453.9,30474240,5.7500,103.3,0.9400,0.8000,1594.1,-0.012668,4.050159,1.616462,2.628600e-04,66470
630,461.3,30965760,2.9000,121.5,0.9600,0.6500,1666.5,-0.011749,4.653810,1.574910,2.622600e-04,61558
640,468.8,31457280,0.5500,107.9,0.9500,0.5400,1646.7,-0.013736,5.659356,1.571741,2.616600e-04,65285
650,476.3,31948800,4.0500,111.0,0.9600,0.7100,1610.2,-0.014779,4.565315,1.579849,2.610600e-04,64718
660,483.7,32440320,9.7500,91.4,0.9900,0.9900,1649.3,-0.011745,1.953197,1.613924,2.604600e-04,71756
670,491.1,32931840,9.5000,89.9,0.9800,0.9800,1601.8,-0.011760,2.033172,1.621921,2.598600e-04,74073
680,498.5,33423360,1.2500,116.9,0.9500,0.5700,1675.3,-0.012679,5.583390,1.617744,2.592600e-04,64956
690,505.9,33914880,8.0000,102.3,0.9200,0.9200,1617.9,-0.010765,2.160436,1.604095,2.586600e-04,71364
700,513.4,34406400,-0.5000,120.6,0.9800,0.4800,1742.3,-0.013335,4.914233,1.563923,2.580600e-04,64462
710,520.9,34897920,-2.0000,122.8,0.9600,0.4100,1675.8,-0.014027,4.857097,1.555731,2.574600e-04,64532
720,528.1,35389440,8.5000,109.2,0.9400,0.9400,1708.5,-0.009475,1.655477,1.612322,2.568600e-04,74773
730,535.6,35880960,0.0500,118.6,0.9700,0.5100,1652.1,-0.013187,4.919978,1.545756,2.562600e-04,66240
740,543.0,36372480,2.4500,107.6,0.9700,0.6300,1701.7,-0.011699,4.941406,1.606221,2.556600e-04,64336
750,550.4,36864000,-1.0500,123.1,0.9500,0.4600,1741.6,-0.012365,4.903150,1.586195,2.550600e-04,65585
760,557.9,37355520,2.9000,139.1,0.9400,0.6600,1774.5,-0.014233,4.654372,1.559710,2.544600e-04,64807
